feature_scoring,pruning,downstream_train,inference_eval,probe_train,gradient_confidence,stability_scoring,total,test_acc,method,dataset,seed,num_edges_before,num_edges_after,prune_ratio_actual
0.08146476745605469,0.4077615737915039,0.4491133689880371,0.0,0.0,0.0,0.0,0.9383397102355957,0.611,Feature-only,Cora,0,13722,10978,0.19997084973036006
0.0002849102020263672,0.39017367362976074,0.1728363037109375,0.0,0.10704565048217773,0.9693202972412109,1.0292410850524902,2.6689019203186035,0.648,StabilityResidual-v5-dp0.15-grad-frozen,Cora,0,13722,10978,0.19997084973036006
0.00021719932556152344,0.3874325752258301,0.16692066192626953,0.0,0.0,0.0,0.0,0.5545704364776611,0.596,Feature-only,Cora,1,13722,10978,0.19997084973036006
0.0001838207244873047,0.3842594623565674,0.15993738174438477,0.0,0.1029963493347168,0.9925973415374756,1.2109627723693848,2.8509371280670166,0.639,StabilityResidual-v5-dp0.15-grad-frozen,Cora,1,13722,10978,0.19997084973036006
0.00021791458129882812,0.39162731170654297,0.17713141441345215,0.0,0.0,0.0,0.0,0.568976640701294,0.592,Feature-only,Cora,2,13722,10978,0.19997084973036006
0.0001723766326904297,0.38972949981689453,0.1607503890991211,0.0,0.1144871711730957,0.9403462409973145,1.1814641952514648,2.786949872970581,0.621,StabilityResidual-v5-dp0.15-grad-frozen,Cora,2,13722,10978,0.19997084973036006
0.00021886825561523438,0.8271985054016113,0.5193631649017334,0.0,0.0,0.0,0.0,1.34678053855896,0.596,Feature-only,Cora,3,13722,10978,0.19997084973036006
0.00017905235290527344,0.851677417755127,0.2596123218536377,0.0,0.15667486190795898,2.5184695720672607,2.444640874862671,6.2312541007995605,0.623,StabilityResidual-v5-dp0.15-grad-frozen,Cora,3,13722,10978,0.19997084973036006
0.00021767616271972656,0.8439555168151855,0.2366180419921875,0.0,0.0,0.0,0.0,1.0807912349700928,0.625,Feature-only,Cora,4,13722,10978,0.19997084973036006
0.0001785755157470703,0.8313305377960205,0.22524142265319824,0.0,0.1641232967376709,2.3797976970672607,2.345304012298584,5.9459755420684814,0.661,StabilityResidual-v5-dp0.15-grad-frozen,Cora,4,13722,10978,0.19997084973036006
0.0007402896881103516,0.7425863742828369,0.3753550052642822,0.0,0.0,0.0,0.0,1.1186816692352295,0.553,Feature-only,CiteSeer,0,11834,9468,0.19993239817475073
0.00017952919006347656,0.7340693473815918,0.4434494972229004,0.0,0.302645206451416,2.1214547157287598,2.5008435249328613,6.102641820907593,0.57,StabilityResidual-v5-dp0.15-grad-frozen,CiteSeer,0,11834,9468,0.19993239817475073
0.00024247169494628906,0.7379519939422607,0.5326235294342041,0.0,0.0,0.0,0.0,1.2708179950714111,0.561,Feature-only,CiteSeer,1,11834,9468,0.19993239817475073
0.00020384788513183594,0.3303985595703125,0.36835408210754395,0.0,0.4184272289276123,2.135091781616211,2.2510087490081787,5.50348424911499,0.573,StabilityResidual-v5-dp0.15-grad-frozen,CiteSeer,1,11834,9468,0.19993239817475073
0.00022840499877929688,0.7333972454071045,0.6941633224487305,0.0,0.0,0.0,0.0,1.4277889728546143,0.554,Feature-only,CiteSeer,2,11834,9468,0.19993239817475073
0.00018334388732910156,0.723052978515625,0.2873532772064209,0.0,0.568697452545166,2.1343512535095215,2.529261589050293,6.2428998947143555,0.551,StabilityResidual-v5-dp0.15-grad-frozen,CiteSeer,2,11834,9468,0.19993239817475073
0.0002315044403076172,0.33995580673217773,0.4528040885925293,0.0,0.0,0.0,0.0,0.7929913997650146,0.583,Feature-only,CiteSeer,3,11834,9468,0.19993239817475073
0.00018930435180664062,0.33474016189575195,0.49025583267211914,0.0,0.11323976516723633,0.8497068881988525,1.018690824508667,2.8068227767944336,0.568,StabilityResidual-v5-dp0.15-grad-frozen,CiteSeer,3,11834,9468,0.19993239817475073
0.00024390220642089844,0.33972835540771484,0.17261385917663574,0.0,0.0,0.0,0.0,0.5125861167907715,0.537,Feature-only,CiteSeer,4,11834,9468,0.19993239817475073
0.00018405914306640625,0.3310072422027588,0.17934203147888184,0.0,0.10904645919799805,0.8485908508300781,1.2259068489074707,2.694077491760254,0.551,StabilityResidual-v5-dp0.15-grad-frozen,CiteSeer,4,11834,9468,0.19993239817475073
0.0010571479797363281,3.315755605697632,0.41919994354248047,0.0,0.0,0.0,0.0,3.7360126972198486,0.688,Feature-only,PubMed,0,115242,92194,0.19999652904323073
0.00017261505126953125,3.3540802001953125,0.2909979820251465,0.0,0.2510945796966553,5.778878927230835,4.983614206314087,14.658838510513306,0.669,StabilityResidual-v5-dp0.15-grad-frozen,PubMed,0,115242,92194,0.19999652904323073
0.00023746490478515625,3.3021602630615234,0.20709681510925293,0.0,0.0,0.0,0.0,3.5094945430755615,0.654,Feature-only,PubMed,1,115242,92194,0.19999652904323073
0.0001735687255859375,3.295938730239868,0.2449779510498047,0.0,0.1292128562927246,5.908209323883057,4.773737907409668,14.352250337600708,0.669,StabilityResidual-v5-dp0.15-grad-frozen,PubMed,1,115242,92194,0.19999652904323073
0.00023603439331054688,3.310211420059204,0.40346646308898926,0.0,0.0,0.0,0.0,3.713913917541504,0.658,Feature-only,PubMed,2,115242,92194,0.19999652904323073
0.00017499923706054688,3.3546295166015625,0.5473008155822754,0.0,0.34625959396362305,5.841495752334595,4.895339250564575,14.985199928283691,0.678,StabilityResidual-v5-dp0.15-grad-frozen,PubMed,2,115242,92194,0.19999652904323073
0.00023126602172851562,3.560692548751831,0.4770619869232178,0.0,0.0,0.0,0.0,4.037985801696777,0.656,Feature-only,PubMed,3,115242,92194,0.19999652904323073
0.00017547607421875,3.562614679336548,0.46227240562438965,0.0,0.43775367736816406,6.5794548988342285,5.432428598403931,16.47469973564148,0.677,StabilityResidual-v5-dp0.15-grad-frozen,PubMed,3,115242,92194,0.19999652904323073
0.0002346038818359375,3.4805409908294678,0.4992992877960205,0.0,0.0,0.0,0.0,3.980074882507324,0.67,Feature-only,PubMed,4,115242,92194,0.19999652904323073
0.00017189979553222656,3.5453009605407715,0.3968672752380371,0.0,0.369570255279541,6.634910345077515,5.382168531417847,16.328989267349243,0.689,StabilityResidual-v5-dp0.15-grad-frozen,PubMed,4,115242,92194,0.19999652904323073
