dataset,method,model,test_acc
Cora,GraCA-ablation-no_ema,GCN,78.28 ± 0.56
Cora,GraCA-ablation-no_ema,GAT,81.08 ± 0.98
Cora,GraCA-ablation-no_ema,GraphSAGE,76.60 ± 1.39
Cora,GraCA-ablation-hard_pseudo,GCN,78.20 ± 0.91
Cora,GraCA-ablation-hard_pseudo,GAT,81.92 ± 0.95
Cora,GraCA-ablation-hard_pseudo,GraphSAGE,76.28 ± 1.00
Cora,GraCA-ablation-no_reliability,GCN,78.38 ± 0.58
Cora,GraCA-ablation-no_reliability,GAT,81.66 ± 0.34
Cora,GraCA-ablation-no_reliability,GraphSAGE,76.60 ± 1.35
Cora,GraCA-ablation-harmful_only,GCN,78.34 ± 0.61
Cora,GraCA-ablation-harmful_only,GAT,81.86 ± 1.07
Cora,GraCA-ablation-harmful_only,GraphSAGE,76.54 ± 0.56
Cora,GraCA-ablation-helpful_only,GCN,79.12 ± 0.46
Cora,GraCA-ablation-helpful_only,GAT,82.22 ± 0.60
Cora,GraCA-ablation-helpful_only,GraphSAGE,76.58 ± 0.87
Cora,GraCA-ablation-global_threshold,GCN,78.40 ± 0.76
Cora,GraCA-ablation-global_threshold,GAT,82.02 ± 0.36
Cora,GraCA-ablation-global_threshold,GraphSAGE,76.80 ± 0.94
Cora,GraCA-ablation-train_only,GCN,78.88 ± 0.48
Cora,GraCA-ablation-train_only,GAT,81.70 ± 0.97
Cora,GraCA-ablation-train_only,GraphSAGE,76.42 ± 0.35
PubMed,GraCA-ablation-no_ema,GCN,76.06 ± 0.96
PubMed,GraCA-ablation-no_ema,GAT,77.54 ± 0.46
PubMed,GraCA-ablation-no_ema,GraphSAGE,74.90 ± 0.73
PubMed,GraCA-ablation-hard_pseudo,GCN,76.52 ± 0.66
PubMed,GraCA-ablation-hard_pseudo,GAT,77.72 ± 0.54
PubMed,GraCA-ablation-hard_pseudo,GraphSAGE,75.20 ± 0.56
PubMed,GraCA-ablation-no_reliability,GCN,76.54 ± 0.74
PubMed,GraCA-ablation-no_reliability,GAT,77.54 ± 0.18
PubMed,GraCA-ablation-no_reliability,GraphSAGE,75.32 ± 0.35
PubMed,GraCA-ablation-harmful_only,GCN,76.56 ± 0.42
PubMed,GraCA-ablation-harmful_only,GAT,77.72 ± 0.58
PubMed,GraCA-ablation-harmful_only,GraphSAGE,74.74 ± 0.81
PubMed,GraCA-ablation-helpful_only,GCN,76.52 ± 0.50
PubMed,GraCA-ablation-helpful_only,GAT,77.58 ± 0.28
PubMed,GraCA-ablation-helpful_only,GraphSAGE,74.68 ± 0.50
PubMed,GraCA-ablation-global_threshold,GCN,76.50 ± 0.96
PubMed,GraCA-ablation-global_threshold,GAT,77.40 ± 0.77
PubMed,GraCA-ablation-global_threshold,GraphSAGE,75.10 ± 0.58
PubMed,GraCA-ablation-train_only,GCN,76.64 ± 0.44
PubMed,GraCA-ablation-train_only,GAT,77.62 ± 0.78
PubMed,GraCA-ablation-train_only,GraphSAGE,75.04 ± 0.81
Actor,GraCA-ablation-no_ema,GCN,28.32 ± 0.55
Actor,GraCA-ablation-no_ema,GAT,29.34 ± 0.72
Actor,GraCA-ablation-no_ema,GraphSAGE,32.61 ± 0.71
Actor,GraCA-ablation-hard_pseudo,GCN,28.74 ± 0.65
Actor,GraCA-ablation-hard_pseudo,GAT,29.97 ± 0.42
Actor,GraCA-ablation-hard_pseudo,GraphSAGE,32.47 ± 0.68
Actor,GraCA-ablation-no_reliability,GCN,28.49 ± 0.64
Actor,GraCA-ablation-no_reliability,GAT,29.33 ± 0.40
Actor,GraCA-ablation-no_reliability,GraphSAGE,33.42 ± 1.06
Actor,GraCA-ablation-harmful_only,GCN,28.76 ± 0.60
Actor,GraCA-ablation-harmful_only,GAT,30.21 ± 0.61
Actor,GraCA-ablation-harmful_only,GraphSAGE,32.89 ± 0.40
Actor,GraCA-ablation-helpful_only,GCN,28.01 ± 0.98
Actor,GraCA-ablation-helpful_only,GAT,29.80 ± 1.36
Actor,GraCA-ablation-helpful_only,GraphSAGE,32.99 ± 0.46
Actor,GraCA-ablation-global_threshold,GCN,28.46 ± 1.10
Actor,GraCA-ablation-global_threshold,GAT,28.99 ± 0.92
Actor,GraCA-ablation-global_threshold,GraphSAGE,32.38 ± 0.82
Actor,GraCA-ablation-train_only,GCN,28.36 ± 0.82
Actor,GraCA-ablation-train_only,GAT,29.24 ± 0.67
Actor,GraCA-ablation-train_only,GraphSAGE,32.76 ± 0.79
Texas,GraCA-ablation-no_ema,GCN,57.30 ± 2.96
Texas,GraCA-ablation-no_ema,GAT,52.97 ± 11.56
Texas,GraCA-ablation-no_ema,GraphSAGE,89.73 ± 1.21
Texas,GraCA-ablation-hard_pseudo,GCN,56.76 ± 5.06
Texas,GraCA-ablation-hard_pseudo,GAT,55.68 ± 5.27
Texas,GraCA-ablation-hard_pseudo,GraphSAGE,89.19 ± 2.70
Texas,GraCA-ablation-no_reliability,GCN,59.46 ± 4.27
Texas,GraCA-ablation-no_reliability,GAT,56.76 ± 4.68
Texas,GraCA-ablation-no_reliability,GraphSAGE,89.19 ± 1.91
Texas,GraCA-ablation-harmful_only,GCN,58.38 ± 4.10
Texas,GraCA-ablation-harmful_only,GAT,58.92 ± 10.00
Texas,GraCA-ablation-harmful_only,GraphSAGE,88.65 ± 5.20
Texas,GraCA-ablation-helpful_only,GCN,58.38 ± 4.10
Texas,GraCA-ablation-helpful_only,GAT,64.86 ± 3.31
Texas,GraCA-ablation-helpful_only,GraphSAGE,89.73 ± 2.26
Texas,GraCA-ablation-global_threshold,GCN,56.76 ± 5.06
Texas,GraCA-ablation-global_threshold,GAT,60.54 ± 6.22
Texas,GraCA-ablation-global_threshold,GraphSAGE,92.43 ± 3.52
Texas,GraCA-ablation-train_only,GCN,57.30 ± 5.20
Texas,GraCA-ablation-train_only,GAT,52.97 ± 8.67
Texas,GraCA-ablation-train_only,GraphSAGE,88.65 ± 2.26
