Dataset,Model,Original+Noise_mean,Original+Noise_std,Original+Noise,Random-Matched_mean,Random-Matched_std,Random-Matched,GCN-Jaccard_mean,GCN-Jaccard_std,GCN-Jaccard,DegreeAwareRandom_mean,DegreeAwareRandom_std,DegreeAwareRandom,Feature-only_mean,Feature-only_std,Feature-only,EdgeBench_mean,EdgeBench_std,EdgeBench,EdgeInfluence-Oracle_mean,EdgeInfluence-Oracle_std,EdgeInfluence-Oracle
Actor,GAT,0.2858157894736842,0.01142996256867579,0.2858 ± 0.0114,0.2896052631578947,0.009233992662906705,0.2896 ± 0.0092,0.3087631578947368,0.005126797142284348,0.3088 ± 0.0051,0.2937368421052631,0.002824098251228965,0.2937 ± 0.0028,0.2934210526315789,0.013446666734190616,0.2934 ± 0.0134,0.28739473684210526,0.009701958612742109,0.2874 ± 0.0097,0.319,0.013788768480025792,0.3190 ± 0.0138
Actor,GCN,0.2764473684210526,0.013588088093711852,0.2764 ± 0.0136,0.2788157894736842,0.0129255807265714,0.2788 ± 0.0129,0.2936315789473684,0.007427997714469761,0.2936 ± 0.0074,0.2851052631578947,0.006799695657466194,0.2851 ± 0.0068,0.2851315789473684,0.012401504838244476,0.2851 ± 0.0124,0.2772631578947368,0.01334580729981671,0.2773 ± 0.0133,0.3097631578947368,0.013023823525538748,0.3098 ± 0.0130
Actor,GraphSAGE,0.3325,0.007848916740426893,0.3325 ± 0.0078,0.3334210526315789,0.008613564990567039,0.3334 ± 0.0086,0.3354736842105263,0.005391526644354693,0.3355 ± 0.0054,0.3326578947368421,0.0038261731072120617,0.3327 ± 0.0038,0.3342368421052631,0.008921046162601814,0.3342 ± 0.0089,0.3332631578947368,0.0052497086934966556,0.3333 ± 0.0052,0.3512105263157895,0.008469314145005851,0.3512 ± 0.0085
CiteSeer,GAT,0.6779999999999999,0.016777961735562504,0.6780 ± 0.0168,0.66316,0.018481251761357134,0.6632 ± 0.0185,0.7166,0.010380269746013358,0.7166 ± 0.0104,0.7153999999999999,0.003511884584284249,0.7154 ± 0.0035,0.7073999999999999,0.012951833846988598,0.7074 ± 0.0130,0.70988,0.015817500856119285,0.7099 ± 0.0158,0.7003199999999999,0.012465686235957197,0.7003 ± 0.0125
CiteSeer,GCN,0.61844,0.03107528492762913,0.6184 ± 0.0311,0.60064,0.026962752085052468,0.6006 ± 0.0270,0.6401600000000001,0.012631574195905547,0.6402 ± 0.0126,0.66232,0.011671617996947417,0.6623 ± 0.0117,0.64116,0.027268235488690246,0.6412 ± 0.0273,0.65012,0.020094194849922902,0.6501 ± 0.0201,0.62488,0.042181473026278574,0.6249 ± 0.0422
CiteSeer,GraphSAGE,0.56128,0.1079546664114155,0.5613 ± 0.1080,0.54488,0.0902991878885593,0.5449 ± 0.0903,0.63356,0.009028104267600524,0.6336 ± 0.0090,0.63704,0.015260187853802249,0.6370 ± 0.0153,0.6104400000000001,0.05045962082034834,0.6104 ± 0.0505,0.6298400000000001,0.028675889989094837,0.6298 ± 0.0287,0.58004,0.08107891217819832,0.5800 ± 0.0811
Cora,GAT,0.77672,0.017929305619571553,0.7767 ± 0.0179,0.7578400000000001,0.018506035051661793,0.7578 ± 0.0185,0.7906,0.007320063751999264,0.7906 ± 0.0073,0.8059999999999999,0.01002081167703822,0.8060 ± 0.0100,0.7697200000000001,0.016003957843816818,0.7697 ± 0.0160,0.78456,0.015866841735728863,0.7846 ± 0.0159,0.79732,0.020907972960890607,0.7973 ± 0.0209
Cora,GCN,0.73612,0.023308296091020263,0.7361 ± 0.0233,0.71088,0.02692786660691856,0.7109 ± 0.0269,0.73568,0.014002142693173817,0.7357 ± 0.0140,0.75948,0.015500322577288532,0.7595 ± 0.0155,0.7238,0.017594980344783993,0.7238 ± 0.0176,0.74736,0.01799046043509358,0.7474 ± 0.0180,0.7542,0.038148831349509665,0.7542 ± 0.0381
Cora,GraphSAGE,0.66948,0.10987118214830796,0.6695 ± 0.1099,0.63776,0.0955180087732151,0.6378 ± 0.0955,0.7278399999999999,0.011841593361255627,0.7278 ± 0.0118,0.7417199999999999,0.013575468070506217,0.7417 ± 0.0136,0.68828,0.059599720357285856,0.6883 ± 0.0596,0.7225199999999999,0.03329929929192708,0.7225 ± 0.0333,0.6892400000000001,0.11223126421219116,0.6892 ± 0.1122
PubMed,GAT,0.7337600000000001,0.0309640651939201,0.7338 ± 0.0310,0.72292,0.03233795499615476,0.7229 ± 0.0323,0.775,0.006357410374253555,0.7750 ± 0.0064,0.7844,0.008406346808612332,0.7844 ± 0.0084,0.7680400000000001,0.014743586176142314,0.7680 ± 0.0147,0.7672800000000001,0.017089275389358442,0.7673 ± 0.0171,0.7735599999999999,0.020694363161659863,0.7736 ± 0.0207
PubMed,GCN,0.7302,0.03254612112064964,0.7302 ± 0.0325,0.71328,0.031403980639402994,0.7133 ± 0.0314,0.76452,0.0075449762535522175,0.7645 ± 0.0075,0.7524,0.014062361110425246,0.7524 ± 0.0141,0.74696,0.01761268482278231,0.7470 ± 0.0176,0.7497199999999999,0.018711671936699505,0.7497 ± 0.0187,0.7644,0.0194786207588389,0.7644 ± 0.0195
PubMed,GraphSAGE,0.66216,0.1224131256578858,0.6622 ± 0.1224,0.65508,0.10559668555404565,0.6551 ± 0.1056,0.73664,0.0054304695929542025,0.7366 ± 0.0054,0.7267199999999999,0.0061679277989721394,0.7267 ± 0.0062,0.71372,0.0462777124182545,0.7137 ± 0.0463,0.73264,0.01674534761259576,0.7326 ± 0.0167,0.68488,0.13813499435938265,0.6849 ± 0.1381
Texas,GAT,0.5935135135135136,0.07338887154744614,0.5935 ± 0.0734,0.5535135135135135,0.09527426354163808,0.5535 ± 0.0953,0.5448648648648649,0.054991864728042725,0.5449 ± 0.0550,0.5297297297297296,0.11519560227517496,0.5297 ± 0.1152,0.5827027027027027,0.06894099628723961,0.5827 ± 0.0689,0.5783783783783784,0.06386237332773796,0.5784 ± 0.0639,0.6010810810810812,0.06446951590203547,0.6011 ± 0.0645
Texas,GCN,0.5772972972972973,0.05935699607217705,0.5773 ± 0.0594,0.5654054054054054,0.06931084462312924,0.5654 ± 0.0693,0.5891891891891892,0.04413495032041761,0.5892 ± 0.0441,0.5351351351351351,0.06846254123230029,0.5351 ± 0.0685,0.5967567567567568,0.04804429414765183,0.5968 ± 0.0480,0.5967567567567568,0.05111372235136681,0.5968 ± 0.0511,0.6508108108108108,0.0499086089530254,0.6508 ± 0.0499
Texas,GraphSAGE,0.867027027027027,0.049908608953025395,0.8670 ± 0.0499,0.8389189189189189,0.047764742853375015,0.8389 ± 0.0478,0.7621621621621623,0.01103373758010438,0.7622 ± 0.0110,0.8810810810810811,0.03310121274031323,0.8811 ± 0.0331,0.8356756756756757,0.04804429414765185,0.8357 ± 0.0480,0.84,0.0467601415220216,0.8400 ± 0.0468,0.865945945945946,0.04902258688437043,0.8659 ± 0.0490
Wisconsin,GAT,0.4949019607843137,0.05525099138668774,0.4949 ± 0.0553,0.508235294117647,0.05091750772173158,0.5082 ± 0.0509,0.5137254901960784,0.014975737565215192,0.5137 ± 0.0150,0.48470588235294115,0.05841908894002323,0.4847 ± 0.0584,0.5184313725490196,0.06330428925890338,0.5184 ± 0.0633,0.5333333333333333,0.0645373126082729,0.5333 ± 0.0645,0.5466666666666666,0.06336499340191563,0.5467 ± 0.0634
Wisconsin,GCN,0.5545098039215687,0.041409239376358584,0.5545 ± 0.0414,0.5380392156862746,0.05548245863974957,0.5380 ± 0.0555,0.5529411764705883,0.014975737565215148,0.5529 ± 0.0150,0.5490196078431372,0.040024342202339525,0.5490 ± 0.0400,0.5764705882352942,0.03300491809922254,0.5765 ± 0.0330,0.567843137254902,0.03511209416617854,0.5678 ± 0.0351,0.5984313725490196,0.037597325537959886,0.5984 ± 0.0376
Wisconsin,GraphSAGE,0.687843137254902,0.045606679802403974,0.6878 ± 0.0456,0.687843137254902,0.042704303853384654,0.6878 ± 0.0427,0.6901960784313725,0.02941176470588236,0.6902 ± 0.0294,0.6745098039215687,0.027145829617379345,0.6745 ± 0.0271,0.6415686274509804,0.03420618067484844,0.6416 ± 0.0342,0.6384313725490196,0.035834640946072686,0.6384 ± 0.0358,0.6925490196078431,0.0269800881575821,0.6925 ± 0.0270
