method,noise_type,delta_mean,delta_std,delta_count,test_acc_mean
GraGE-FO-absgrad,cross_class_oracle,-0.06288888888888887,0.02477117500465228,9,0.6027777777777777
GraGE-FO-absgrad,degree_aligned_random,-0.049999999999999996,0.022073740054644114,9,0.6579999999999999
GraGE-FO-absgrad,feature_similar_cross_class,-0.012111111111111097,0.036794851693016946,9,0.5964444444444444
GraGE-FO-absgrad,low_feature_similarity,-0.05922222222222219,0.022730913849743142,9,0.6347777777777778
GraGE-FO-absgrad,random_inter_community,-0.04477777777777779,0.026952633348978048,9,0.6545555555555556
GraGE-FO-grad,cross_class_oracle,-0.06822222222222221,0.023354752074137793,9,0.5974444444444444
GraGE-FO-grad,degree_aligned_random,-0.03477777777777781,0.021614681224677947,9,0.6732222222222222
GraGE-FO-grad,feature_similar_cross_class,-0.012555555555555542,0.040299228004736995,9,0.596
GraGE-FO-grad,low_feature_similarity,-0.056444444444444436,0.04101557969574218,9,0.6375555555555555
GraGE-FO-grad,random_inter_community,-0.043000000000000003,0.026893307717720385,9,0.6563333333333333
GraGE-FO-neggrad,cross_class_oracle,-0.09433333333333334,0.016918924315688637,9,0.5713333333333332
GraGE-FO-neggrad,degree_aligned_random,-0.08533333333333333,0.027404379212089415,9,0.6226666666666667
GraGE-FO-neggrad,feature_similar_cross_class,-0.03455555555555555,0.027157462653528194,9,0.5740000000000001
GraGE-FO-neggrad,low_feature_similarity,-0.07177777777777776,0.029609026401495285,9,0.6222222222222222
GraGE-FO-neggrad,random_inter_community,-0.06288888888888888,0.0291609518210759,9,0.6364444444444444
GraGE-Hybrid-FO-pos-lam0.25,cross_class_oracle,-0.007000000000000006,0.00961769203083568,9,0.6586666666666666
GraGE-Hybrid-FO-pos-lam0.25,degree_aligned_random,0.0012222222222222233,0.00774237976622463,9,0.7092222222222222
GraGE-Hybrid-FO-pos-lam0.25,feature_similar_cross_class,-0.0029999999999999905,0.01251998402554891,9,0.6055555555555556
GraGE-Hybrid-FO-pos-lam0.25,low_feature_similarity,0.0008888888888888897,0.00995545634871206,9,0.6948888888888889
GraGE-Hybrid-FO-pos-lam0.25,random_inter_community,-0.0030000000000000027,0.009899494936611675,9,0.6963333333333332
GraGE-Hybrid-FO-pos-lam0.5,cross_class_oracle,-0.00922222222222223,0.016153774928617876,9,0.6564444444444444
GraGE-Hybrid-FO-pos-lam0.5,degree_aligned_random,-0.0008888888888888897,0.014021808410868815,9,0.7071111111111111
GraGE-Hybrid-FO-pos-lam0.5,feature_similar_cross_class,0.0006666666666666795,0.02724885318687744,9,0.6092222222222223
GraGE-Hybrid-FO-pos-lam0.5,low_feature_similarity,-0.00555555555555556,0.008676276723213588,9,0.6884444444444444
GraGE-Hybrid-FO-pos-lam0.5,random_inter_community,-0.0024444444444444466,0.0077638764659014176,9,0.6968888888888889
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,cross_class_oracle,0.0024444444444444344,0.010501322668015584,9,0.6681111111111111
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,degree_aligned_random,-0.0035555555555555588,0.010678378986427574,9,0.7044444444444444
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_similar_cross_class,0.017,0.016015617378046985,9,0.6255555555555555
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,low_feature_similarity,0.003333333333333336,0.017888543819998333,9,0.6973333333333334
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,random_inter_community,0.0006666666666666673,0.007648529270389184,9,0.7
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,cross_class_oracle,-0.001555555555555557,0.008987645841808516,9,0.6641111111111111
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,degree_aligned_random,-0.00544444444444445,0.014984250991550369,9,0.7025555555555556
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_similar_cross_class,0.0074444444444444514,0.012521093313995311,9,0.6160000000000001
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,low_feature_similarity,0.0017777777777777794,0.01442027893088219,9,0.6957777777777777
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,random_inter_community,0.003777777777777781,0.006704061787039595,9,0.7031111111111111
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,cross_class_oracle,-0.009333333333333341,0.015297058540778327,9,0.6563333333333333
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,degree_aligned_random,0.0,0.013774977313955925,9,0.708
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_similar_cross_class,0.0027777777777777926,0.02368954293447734,9,0.6113333333333333
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,low_feature_similarity,-0.0013333333333333346,0.006670832032063173,9,0.6926666666666667
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,random_inter_community,-0.0028888888888888914,0.010154364141151888,9,0.6964444444444444
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,cross_class_oracle,-0.007666666666666649,0.013702189606044695,9,0.658
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,degree_aligned_random,-0.0040000000000000036,0.014439529078193665,9,0.7040000000000001
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,feature_similar_cross_class,-0.007111111111111105,0.027903603909013464,9,0.6014444444444444
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,low_feature_similarity,0.0,0.01002496882788172,9,0.694
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,random_inter_community,0.0013333333333333346,0.008108637370113435,9,0.7006666666666667
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,cross_class_oracle,-0.012222222222222221,0.009202958461519013,9,0.6534444444444445
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,degree_aligned_random,-0.0030000000000000027,0.013647344063956193,9,0.705
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,feature_similar_cross_class,-0.008777777777777773,0.01471205099380929,9,0.5997777777777777
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,low_feature_similarity,0.0017777777777777794,0.011540989751509386,9,0.6957777777777777
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,random_inter_community,0.0011111111111111122,0.00677208321797002,9,0.7004444444444444
